"시점","투자현황별(1)","현황별(1)",현황별(2),데이터
"2021","기업 연구개발비 (백만원)","지역별",세종,9627
"2021","기업 연구개발비 (백만원)","지역별",경기,3329048
"2021","기업 연구개발비 (백만원)","지역별",강원,115416
"2021","기업 연구개발비 (백만원)","지역별",충북,469293
"2021","기업 연구개발비 (백만원)","지역별",충남,111609
"2021","기업 연구개발비 (백만원)","지역별",전북,50257
"2021","기업 연구개발비 (백만원)","지역별",전남,11535
"2021","기업 연구개발비 (백만원)","지역별",경북,56213
"2021","기업 연구개발비 (백만원)","지역별",경남,18647
"2021","기업 연구개발비 (백만원)","지역별",제주,6884
"2021","바이오 연구개발비 (백만원)","주력업종별",바이오 의약,1533702
"2021","바이오 연구개발비 (백만원)","주력업종별",바이오 화학·에너지,171532
"2021","바이오 연구개발비 (백만원)","주력업종별",바이오 식품,121053
"2021","바이오 연구개발비 (백만원)","주력업종별",바이오 환경,14103
"2021","바이오 연구개발비 (백만원)","주력업종별",바이오 의료기기,187851
"2021","바이오 연구개발비 (백만원)","주력업종별",바이오 장비 및 기기,22672
"2021","바이오 연구개발비 (백만원)","주력업종별",바이오 자원,12509
"2021","바이오 연구개발비 (백만원)","주력업종별",바이오 서비스,207044
"2021","바이오 연구개발비 (백만원)","총 종사자규모별",1~49명,467295
"2021","바이오 연구개발비 (백만원)","총 종사자규모별",50~299명,683114
"2021","바이오 연구개발비 (백만원)","총 종사자규모별",300~999명,377261
"2021","바이오 연구개발비 (백만원)","총 종사자규모별",1000명 이상,732324
"2021","바이오 연구개발비 (백만원)","총 종사자규모별",미상,10472
"2021","바이오 연구개발비 (백만원)","지역별",서울,349958
"2021","바이오 연구개발비 (백만원)","지역별",부산,3038
"2021","바이오 연구개발비 (백만원)","지역별",인천,266488
"2021","바이오 연구개발비 (백만원)","지역별",대구,7208
"2021","바이오 연구개발비 (백만원)","지역별",광주,1117
"2021","바이오 연구개발비 (백만원)","지역별",대전,164780
"2021","바이오 연구개발비 (백만원)","지역별",울산,26862
"2021","바이오 연구개발비 (백만원)","지역별",세종,4310
"2021","바이오 연구개발비 (백만원)","지역별",경기,876356
"2021","바이오 연구개발비 (백만원)","지역별",강원,100522
"2021","바이오 연구개발비 (백만원)","지역별",충북,317991
"2021","바이오 연구개발비 (백만원)","지역별",충남,40410
"2021","바이오 연구개발비 (백만원)","지역별",전북,29205
"2021","바이오 연구개발비 (백만원)","지역별",전남,9103
"2021","바이오 연구개발비 (백만원)","지역별",경북,56050
"2021","바이오 연구개발비 (백만원)","지역별",경남,13784
"2021","바이오 연구개발비 (백만원)","지역별",제주,3284
